id,question_text_nl,question_text_en,placeholder_nl,placeholder_en,help_text_nl,help_text_en
q-afbraakwerken-101-1,Om wat voor gebouw gaat het?,Om wat voor gebouw gaat het?,,,,
q-afbraakwerken-101-2,Hoe groot is het gebouw ongeveer?,How large is het gebouw approximately?,,,,
q-afbraakwerken-101-3,Moet het puin ook afgevoerd worden?,Should the puin ook removed worden?,,,,
q-afbraakwerken-102-1,Wat wil je laten afbreken?,What do you want have afbreken?,,,,
q-afbraakwerken-102-2,Moet de afbraak machinaal of handmatig gebeuren?,Should the afbraak machinaal of handmatig gebeuren?,,,,
q-afbraakwerken-103-1,Wat moet er verwijderd worden?,Wat moet er verwijderd worden?,,,,
q-afbraakwerken-103-2,Hoe groot is de ruimte?,How large is de ruimte?,,,,
q-afbraakwerken-104-1,Wat wil je slopen?,What do you want slopen?,,,,
q-afbraakwerken-104-2,Moet het puin ook afgevoerd worden?,Should the puin ook removed worden?,,,,
q-afbraakwerken-root,Wat voor type afbraakwerk zoek je?,What type of afbraakwerk are you looking for?,,,,
q-airco-201-1,Wat voor type airco wil je laten plaatsen?,What type of air conditioning do you want to install?,,,,
q-airco-201-2,Voor welk type ruimte/woning/gebouw?,For what type of space/home/building?,,,,
q-airco-201-3,Om hoeveel ruimtes gaat het?,How many rooms does it concern?,,,,
q-airco-202-1,Wat wil je vervangen?,What do you want to replace?,,,,
q-airco-202-2,Waarom wil je vervangen?,Why do you want to replace?,,,,
q-airco-202-3,Moet de oude installatie verwijderd worden?,Should the old installation be removed?,,,,
q-airco-203-1,Wat is het probleem?,What is the problem?,,,,
q-airco-203-2,Hoe oud is de installatie ongeveer?,How old is the installation approximately?,,,,
q-airco-204-1,Wat wil je laten doen?,What do you want to have done?,,,,
q-airco-204-2,Hoe vaak wil je onderhoud?,How often do you want maintenance?,,,,
q-airco-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-alarmsystemen-301-1,Voor welk type gebouw?,Voor welk type gebouw?,,,,
q-alarmsystemen-301-2,Wat voor type systeem wil je?,What type of systeem wil je?,,,,
q-alarmsystemen-301-3,Moet het systeem ook verbonden zijn met meldkamer?,Should the systeem ook verbonden zijn met meldkamer?,,,,
q-alarmsystemen-302-1,Wat wil je toevoegen?,What do you want toevoegen?,,,,
q-alarmsystemen-302-2,Hoeveel extra componenten gaat het om?,How many extra componenten gaat het om?,,,,
q-alarmsystemen-303-1,Waarom wil je vervangen?,Why do you want to replace?,,,,
q-alarmsystemen-303-2,Wat voor nieuw systeem wil je?,What kind of nieuw systeem wil je?,,,,
