id,service_category_id,question_text_nl,question_text_en,question_type,is_root_question,parent_question_id,parent_option_id,order_index,is_required,placeholder_nl,placeholder_en,help_text_nl,help_text_en,is_active,created_at,updated_at,step_number,service_subcategory_id
q-afbraakwerken-101-1,1,Om wat voor gebouw gaat het?,Om wat voor gebouw gaat het?,radio,false,q-afbraakwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,101
q-afbraakwerken-101-2,1,Hoe groot is het gebouw ongeveer?,How large is het gebouw approximately?,radio,false,q-afbraakwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,101
q-afbraakwerken-101-3,1,Moet het puin ook afgevoerd worden?,Should the puin ook removed worden?,radio,false,q-afbraakwerken-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,101
q-afbraakwerken-102-1,1,Wat wil je laten afbreken?,What do you want have afbreken?,radio,false,q-afbraakwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,102
q-afbraakwerken-102-2,1,Moet de afbraak machinaal of handmatig gebeuren?,Should the afbraak machinaal of handmatig gebeuren?,radio,false,q-afbraakwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,102
q-afbraakwerken-103-1,1,Wat moet er verwijderd worden?,Wat moet er verwijderd worden?,radio,false,q-afbraakwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,103
q-afbraakwerken-103-2,1,Hoe groot is de ruimte?,How large is de ruimte?,radio,false,q-afbraakwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,103
q-afbraakwerken-104-1,1,Wat wil je slopen?,What do you want slopen?,radio,false,q-afbraakwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,104
q-afbraakwerken-104-2,1,Moet het puin ook afgevoerd worden?,Should the puin ook removed worden?,radio,false,q-afbraakwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,104
q-afbraakwerken-root,1,Wat voor type afbraakwerk zoek je?,What type of afbraakwerk are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-airco-201-1,2,Wat voor type airco wil je laten plaatsen?,What type of air conditioning do you want to install?,radio,false,q-airco-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,201
q-airco-201-2,2,Voor welk type ruimte/woning/gebouw?,For what type of space/home/building?,radio,false,q-airco-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,201
q-airco-201-3,2,Om hoeveel ruimtes gaat het?,How many rooms does it concern?,radio,false,q-airco-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,201
q-airco-202-1,2,Wat wil je vervangen?,What do you want to replace?,radio,false,q-airco-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,202
q-airco-202-2,2,Waarom wil je vervangen?,Why do you want to replace?,radio,false,q-airco-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,202
q-airco-202-3,2,Moet de oude installatie verwijderd worden?,Should the old installation be removed?,radio,false,q-airco-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,202
q-airco-203-1,2,Wat is het probleem?,What is the problem?,radio,false,q-airco-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,203
