id,question_text_nl,question_text_en,placeholder_nl,placeholder_en,help_text_nl,help_text_en
q-afbraakwerken-101-1,Om wat voor gebouw gaat het?,What type of building is it?,,,,
q-afbraakwerken-101-2,Hoe groot is het gebouw ongeveer?,What is the approximate size of the building?,,,,
q-afbraakwerken-101-3,Moet het puin ook afgevoerd worden?,Does the debris also need to be removed?,,,,
q-afbraakwerken-102-1,Wat wil je laten afbreken?,What do you want to have demolished?,,,,
q-afbraakwerken-102-2,Moet de afbraak machinaal of handmatig gebeuren?,Should the demolition be done mechanically or manually?,,,,
q-afbraakwerken-103-1,Wat moet er verwijderd worden?,What needs to be removed?,,,,
q-afbraakwerken-103-2,Hoe groot is de ruimte?,How large is the space?,,,,
q-afbraakwerken-104-1,Wat wil je slopen?,What do you want to demolish?,,,,
q-afbraakwerken-104-2,Moet het puin ook afgevoerd worden?,Does the debris also need to be removed?,,,,
q-afbraakwerken-root,Wat voor type afbraakwerk zoek je?,What type of demolition work are you looking for?,,,,
q-airco-201-1,Wat voor type airco wil je laten plaatsen?,What type of air conditioning system do you want to install?,,,,
q-airco-201-2,Voor welk type ruimte/woning/gebouw?,For what type of space/home/building?,,,,
q-airco-201-3,Om hoeveel ruimtes gaat het?,How many rooms are involved?,,,,
q-airco-202-1,Wat wil je vervangen?,What do you want to replace?,,,,
q-airco-202-2,Waarom wil je vervangen?,Why do you want to replace it?,,,,
q-airco-202-3,Moet de oude installatie verwijderd worden?,Should the old installation be removed?,,,,
q-airco-203-1,Wat is het probleem?,What is the problem?,,,,
q-airco-203-2,Hoe oud is de installatie ongeveer?,Approximately how old is the installation?,,,,
q-airco-204-1,Wat wil je laten doen?,What would you like to have done?,,,,
q-airco-204-2,Hoe vaak wil je onderhoud?,How often would you like maintenance?,,,,
q-airco-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-alarmsystemen-301-1,Voor welk type gebouw?,For what type of building?,,,,
q-alarmsystemen-301-2,Wat voor type systeem wil je?,What type of system do you want?,,,,
q-alarmsystemen-301-3,Moet het systeem ook verbonden zijn met meldkamer?,Should the system also be connected to a monitoring center?,,,,
q-alarmsystemen-302-1,Wat wil je toevoegen?,What would you like to add?,,,,
q-alarmsystemen-302-2,Hoeveel extra componenten gaat het om?,How many extra components are involved?,,,,
q-alarmsystemen-303-1,Waarom wil je vervangen?,Why do you want to replace it?,,,,
q-alarmsystemen-303-2,Wat voor nieuw systeem wil je?,What type of new system would you like?,,,,
q-alarmsystemen-303-3,Moet het oude systeem verwijderd worden?,Should the old system be removed?,,,,
q-alarmsystemen-304-1,Wat is het probleem?,What is the problem?,,,,
q-alarmsystemen-304-2,Hoe oud is het systeem ongeveer?,Approximately how old is the system?,,,,
q-alarmsystemen-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-architect-501-1,Heb je al bouwgrond?,Do you already have a building plot?,,,,
q-architect-501-2,In welke fase zit je?,Which phase are you currently in?,,,,
q-architect-501-3,Wat voor type woning wil je bouwen?,What type of home do you want to build?,,,,
q-architect-502-1,Om wat voor verbouwing gaat het?,What kind of renovation is it?,,,,
q-architect-502-2,Heb je al bestaande plannen/tekeningen?,Do you already have existing plans or drawings?,,,,
q-architect-502-3,Moet de architect ook de bouwaanvraag/vergunning regelen?,Should the architect also handle the building application or permit?,,,,
q-architect-503-1,Wat wil je realiseren?,What would you like to achieve?,,,,
q-architect-503-2,Heb je een vergunning nodig of al aangevraagd?,Do you need a permit or have you already applied for one?,,,,
q-architect-503-3,Moet de architect ook het bouwtoezicht doen?,Should the architect also provide construction supervision?,,,,
q-architect-504-1,Om welke ruimtes gaat het?,Which rooms are involved?,,,,
q-architect-504-2,Wat is je doel?,What is your goal?,,,,
q-architect-505-1,Waar heb je hulp bij nodig?,What do you need help with?,,,,
q-architect-505-2,In welke fase zit je?,Which phase are you currently in?,,,,
q-architect-root,Wat voor opdracht zoek je?,What kind of project are you looking for?,,,,
q-asbest-601-1,Waar moet het onderzoek plaatsvinden?,Where should the investigation take place?,,,,
q-asbest-601-2,Voor welk doel is het onderzoek nodig?,For what purpose is the investigation needed?,,,,
q-asbest-602-1,Waar zit het asbest?,Where is the asbestos located?,,,,
