id,slug,name_nl,name_en,description_nl,description_en,price_particulier,price_zakelijk,icon_url,sort_order,is_active,created_at,updated_at,service_category_id
101,afbraakwerken-volledige-sloop-woninggebouw,Volledige sloop woning/gebouw,Complete demolition house/building,"Volledige sloop woning/gebouw omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Complete demolition house/building includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",45.00,65.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,1
102,afbraakwerken-gedeeltelijke-afbraak,Gedeeltelijke afbraak,Partial demolition,"Gedeeltelijke afbraak omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Partial demolition includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",25.00,35.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,1
103,afbraakwerken-interne-afbraak-binnenmuren-vloeren,"Interne afbraak (binnenmuren, vloeren)","Internal demolition (interior walls, floors)","Interne afbraak (binnenmuren, vloeren) omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Internal demolition (interior walls, floors) includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",38.00,50.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,1
104,afbraakwerken-buitenafbraak-garage-bijgebouw-schoorsteen,"Buitenafbraak (garage, bijgebouw, schoorsteen)","External demolition (garage, outbuilding, chimney)","Buitenafbraak (garage, bijgebouw, schoorsteen) omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","External demolition (garage, outbuilding, chimney) includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",38.00,50.00,,4,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,1
201,airco-nieuwe-airco-plaatsen,Nieuwe airco plaatsen,Install new air conditioning,"Nieuwe airco plaatsen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Install new air conditioning includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",17.00,25.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,2
202,airco-airco-vervangen,Airco vervangen,Replace air conditioning,"Airco vervangen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Replace air conditioning includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",17.00,25.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,2
203,airco-airco-repareren,Airco repareren,Repair air conditioning,"Airco repareren omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Repair air conditioning includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",11.50,15.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,2
204,airco-airco-onderhoudenreinigen,Airco onderhouden/reinigen,Maintain/clean air conditioning,"Airco onderhouden/reinigen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Maintain/clean air conditioning includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",11.50,15.00,,4,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,2
301,alarmsystemen-nieuw-alarmsysteem-plaatsen,Nieuw alarmsysteem plaatsen,Install new alarm system,"Nieuw alarmsysteem plaatsen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Install new alarm system includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",35.00,50.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,3
302,alarmsystemen-alarmsysteem-uitbreiden,Alarmsysteem uitbreiden,Expand alarm system,"Alarmsysteem uitbreiden omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Expand alarm system includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",35.00,50.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,3
